SYF1|S0002824
SYF2|S0003361
SYF3|S0004107
Nub1p|S0001523
ARO80|S0002829
Mmp1p|S0003984
Fur1p|S0001170
TAF130|S0003506
CKS1|S0000339
Srl2p|S0004072
Ssu72p|S0005166
VAN1|S0004583
VAN2|S0003193
Aad15p|S0005525
MLS1|S0005061
MLS2|S0001470
Gsc2p|S0003264
RPS19A|S0005481
RPS19B|S0005246
Slk19p|S0005721
SYG1|S0001309
Faa1p|S0005844
Fkb1p|S0005079
Srl3p|S0001799
TAF145|S0003506
Ssu73p|S0003038
Pfd4p|S0005097
Leo1p|S0005649
ABM1|S0003869
Amy1p|S0002981
Ore2p|S0000825
Sgn1p|S0001440
Faa2p|S0000817
TAF150|S0000638
BNR1|S0001421
Fkb2p|S0002927
VAP1|S0000273
Siw9p|S0001072
Pfd5p|S0004559
Grf1p|S0005160
Mbr1p|S0001576
Crn1p|S0004421
USO1|S0002216
Ore3p|S0003695
Pzf889p|S0002434
Amy2p|S0000101
Faa3p|S0001271
Mls1p|S0005061
Fur4p|S0000225
BNS1|S0003462
RME1|S0003276
SJH1|S0001264
SSN20|S0003348
SJH2|S0005050
SSN21|S0002450
SSN22|S0000270
Dep1p|S0000011
Ogg1p|S0004525
LOS1|S0001688
Grf2p|S0000253
Bcl21p|S0005978
VPS1|S0001709
Faa4p|S0004860
VPS3|S0002903
VPS4|S0006377
VPS5|S0005595
Mls2p|S0001470
VPS6|S0005562
VPS8|S0000002
VPS9|S0004563
YML14|S0004806
TGL1|S0001623
TGL2|S0002465
YML17|S0005196
VAR1|S0007275
Ebs1p|S0002614
YML19|S0005129
Mbr3p|S0004686
ABP1|S0000684
ABP2|S0005299
Btn1p|S0003595
Dea1p|S0003823
VPT1|S0000113
VPT2|S0003963
KIN28|S0002266
VPT3|S0005658
VPT4|S0003589
VPT5|S0005595
VPT7|S0003690
VPT8|S0000002
VPT9|S0004563
YML20|S0001793
PSA1|S0002213
Spr1p|S0005716
Dob1p|S0003586
YML23|S0005676
YML24|S0004806
YML25|S0003308
VAS1|S0003326
YML27|S0000486
YML28|S0002870
ZTA1|S0000250
KRR1|S0000564
NSP100|S0001551
KIN31|S0005759
Btn2p|S0003374
Yok22p|S0005014
Hrc283p|S0003209
YML30|S0005196
YML32|S0000596
YML33|S0004899
END12|S0004230
YML35|S0002730
END13|S0006377
YML36|S0000326
END14|S0005082
